Idx,address,decimal,symbol,name
1,0x2956356cd2a2bf3202f771f50d3d14a367b48070,18,weth,ethertoken,
2,0xef68e7c694f40c8202821edf525de3782458639f,18,lrc,loopring,
3,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,18,eos,eos,
4,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,18,omg,omisego,
5,0xe94327d07fc17907b4db788e5adf2ed424addff6,18,rep,augur,
6,0xb97048628db6b661d4c2aa833e95dbe1a905b280,18,pay,tenx,
7,0xa74476443119a942de498590fe1f2454d7d4ac0d,18,gnt,golem,
8,0x0d8775f648430679a709e98d2b0cb6250d2887ef,18,bat,bat,
9,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,18,knc,kyber,
10,0x744d70fdbe2ba4cf95131626614a1763df805b9e,18,snt,status,
11,0x888666ca69e0f178ded6d75b5726cee99a87d698,19,icn,iconomi,
12,0xe41d2489571d322189246dafa5ebde1f4699f498,18,zrx,0x,
13,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,18,bnt,bancor,
14,0x6810e776880c02933d47db1b9fc05908e5386b96,18,gno,gnosis,
15,0x960b236a07cf122663c4303350609a66a7b288c0,18,ant,aragon,
16,0x667088b212ce3d06a1b553a7221e1fd19000d9af,18,wings,wings,
17,0xbeb9ef514a379b997e0798fdcc901ee474b6d9a1,18,mln,melon,
18,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,18,san,santiment,
19,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,18,mana,decentraland,
20,0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7,18,1st,firstblood,
21,0x12fef5e57bf45873cd9b62e9dbd7bfb99e32d73e,18,cfi,cofoundit,
22,0x0abdace70d3790235af448c88547603b945604ea,18,dnt,district0x,
23,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,18,nmr,numeraire,
24,0xb9e7f8568e08d5659f5d29c4997173d84cdf2607,18,swt,swarmcity,
25,0xcfb98637bcae43c13323eaa1731ced2b716962fd,18,net,nimiq,
26,0xfa05a73ffe78ef8f1a739473e462c54bae6567d9,18,lun,lunyr,
27,0xd8912c10681d8b21fd3742244f44658dba12264e,18,plu,pluton,
28,0x818fc6c2ec5986bc6e2cbf00939d90556ab12ce5,18,kin,kin,
29,0x514910771af9ca656af840dff83e8264ecf986ca,18,link,chainlink,
30,0xc42209accc14029c1012fb5680d95fbd6036e2a0,18,ppp,paypie,
31,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,18,rdn,raiden,
32,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d,18,ae,aeternity,
33,0xb8c77482e45f1f44de1745f52c74426c631bdd52,18,bnb,binance,
34,0x8f8221afbb33998d8584a2b05749ba73c37a938a,18,req,request,
35,0xf8e386eda857484f5a12e4b5daa9984e06e73705,18,ind,indorse,
36,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,18,wtc,walton,
37,0x56ba2ee7890461f463f7be02aac3099f6d5811a8,18,cat,blockcat,
38,0xf05a9382a4c3f29e2784502754293d88b835109c,18,rex,rex,
39,0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6,18,rcn,ripio,
40,0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d,18,qsp,quantstamp,
41,0x2e071d2966aa7d8decb1005885ba1977d6038a65,16,rol,dice,
42,0x607f4c5bb672230e8672085532f7e901544a7375,9,rlc,iexec,
43,0x41e5560054824ea6b0732e656e3ad64e20e94e45,8,cvc,civic,
44,0xf433089366899d83a9f26a773d59ec7ecf30355e,8,mtl,metalpay,
45,0x5af2be193a6abca9c8817001f45744777db30756,8,ethos,ethos,
46,0x419d0d8bdd9af5e606ae2232ed285aff190e711b,8,fun,funfair,
47,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,8,storj,storj,
48,0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,8,mco,monaco,
49,0xaaaf91d9b90df800df4f55c205fd6989c977e73a,8,tkn,monolith,
50,0x4df812f6064def1e5e029f1ca858777cc98d2d81,8,xaur,xaurum,
51,0xcbcc0f036ed4788f63fc0fee32873d6a7487b908,8,hmq,humaniq,
52,0xcb97e65f07da24d46bcdd078ebebd7c6e6e3d750,8,btm,bytom,
53,0x40395044ac3c0c57051906da938b54bd6557f212,8,mgo,mobilego,
54,0x9b11efcaaa1890f6ee52c6bb7cf8153ac5d74139,8,atm,attention,
55,0x4156d3342d5c385a87d264f90653733592000581,8,salt,salt,
56,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,8,ppt,populous,
57,0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4,8,eng,enigma,
58,0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c,6,taas,taas,
59,0xcb94be6f13a1182e4a4b6140cb7bf2025d28e41b,6,trst,trustcoin,
60,0xf230b790e05390fc8295f4d3f60332c93bed42e2,6,trx,tron,
61,0x595832f8fc6bf59c85c527fec3740a1b7a361269,6,powr,powerledger,
62,0x27054b13b1b798b345b591a4d22e6562d47ea75a,4,ast,airswap,
63,0xf7b098298f7c69fc14610bf71d5e02c60792894c,3,gup,guppy,
64,0x621d78f2ef2fd937bfca696cabaf9a779f59b3ed,2,drp,dcorp,
65,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,0,sngls,singulardtv,
66,0x08711d3b02c8758f2fb3ab4e80228418a7f8e39c,0,edg,edgeless,
