,Symbol,Name,Bits,Address
0,EOS,EOS,"
18
",0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0
1,OMG,OmiseGO,,OmiseGo
2,PPT,Populous,,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a
3,REP,Augur,"
18
",0xe94327d07fc17907b4db788e5adf2ed424addff6
4,PAY,TenX,,TenXPay
5,GNT,Golem,,Golem
6,VERI,Veritaseum,,0xedbaf3c5100302dcdda53269322f3730b1f0416d
7,AE,Aeternity,,0x5ca9a71b1d01849c0a95490cc00559717fcf0d1d
8,SALT,SALT,,0x4156D3342D5c385a87D264F90653733592000581
9,DGD,DigixDAO,"
9
",0xe0b7927c4af23765cb51314a0e0521a9645f0e2a
10,BAT,BasicAttenti,"
18
",0x0d8775f648430679a709e98d2b0cb6250d2887ef
11,ICN,Iconomi,,ICONOMI
12,TRX,TRON,,0xf230b790e05390fc8295f4d3f60332c93bed42e2
13,WTC,Walton,,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74
14,ETHOS,Ethos,"
8
",0x5af2be193a6abca9c8817001f45744777db30756
15,CVC,Civic,,civic
16,ZRX,0x,"
18
",0xe41d2489571d322189246dafa5ebde1f4699f498
17,BTM,Bytom,,0xcb97e65f07da24d46bcdd078ebebd7c6e6e3d750
18,SNT,Status,,StatusNetwork
19,FUN,FunFair,,FunFair
20,BNT,Bancor,,Bancor
21,QSP,Quantstamp,,0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d
22,MTL,Metal,,0xF433089366899D83a9f26A773D59ec7eCF30355e
23,SNGLS,SingularDTV,"
0
",0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009
24,STORJ,Storj,"
8
",0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac
25,PPP,PayPie,,0xc42209aCcC14029c1012fB5680D95fBd6036E2a0
26,ADX,AdEx,,0x4470bb87d77b963a013db939be332f927f2b992e
27,MGO,MobileGo,,0x40395044Ac3c0C57051906dA938B54BD6557F212
28,LINK,ChainLink,,0x514910771af9ca656af840dff83e8264ecf986ca
29,ANT,Aragon,,Aragon
30,MCO,Monaco,,Monaco
31,EDG,Edgeless,,Edgeless
32,KIN,Kin,"
18
",0x818fc6c2ec5986bc6e2cbf00939d90556ab12ce5
33,SUB,Substratum,,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a
34,LRC,Loopring,,0xEF68e7C694F40c8202821eDF525dE3782458639f
35,RLC,iExecRLC,"
9
",0x607F4C5BB672230e8672085532f7e901544a7375
36,SAN,SantimentNet,"
18
",0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098
37,ZSC,Zeusshield,,0x7A41e0517a5ecA4FdbC7FbebA4D4c47B9fF6DC63
38,WINGS,Wings,"
18
",0x667088b212ce3d06a1b553a7221E1fD19000d9aF
39,RHOC,RChain,,0x168296bb09e24a88805cb9c33356536b980d3fc5
40,MLN,Melon,,Melon
41,PLR,Pillar,,0xe3818504c1b32bf1557b16c238b2e01fd3149c17
42,TNT,Tierion,,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8
43,MANA,Decentraland,,decentraland
44,R,Revain,,0x48f775efbe4f5ece6e0df2f7b5932df56823b990
45,TAAS,TaaS,"
6
",0xe7775a6e9bcf904eb39da2b68c5efb4f9360e08c
46,SNM,SONM,,0x983f6d60db79ea8ca4eb9968c6aff8cfa04b3c63
47,1ST,FirstBlood,,FirstBlood
48,AST,AirSwap,,0x27054b13b1b798b345b591a4d22e6562d47ea75a
